รหัสทางแยก,ชื่อทางแยกและทิศทาง,Edge_ขาเข้า,วินาทีเริ่มต้น,วินาทีสิ้นสุด,ช่วงเวลา,ประเภทรถ,ปริมาณรถ(คัน/ชม.),แหล่งที่มา
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,32400,54000,นอกเวลาเร่งด่วน,รถพ่วง_รถกึ่งพ่วง,0.002,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถจักรยาน,0.005,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถจักรยานยนต์,0.274,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถตุ๊กตุ๊ก_สามล้อ,0.009,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถยนต์นั่งส่วนบุคคล,0.411,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถแท็กซี่,0.091,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถตู้,0.027,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดเล็ก,0.018,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถโดยสารขนาดใหญ่,0.027,ข้อมูลจาก_PDF
PTW-02,แยกราชประสงค์ ขาเข้า ถ.ราชดำริ,edge_ratchadamri_in,54000,64800,เร่งด่วนเย็น,รถบรรทุก4ล้อ,0.036,ข้อมูลจาก_PDF
