episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
127,training,3603,141442.0,5510,11026,162.0777,4.87,0.5,83.7,-109.2335,-8.33,-1.0734,279.0,-81.9853
128,training,3605,153863.0,5608,11019,173.1199,4.83,0.48,83.4,-101.419,-8.42,-1.0464,278.0,-77.3947
129,training,3609,181111.0,5517,11087,99.5168,4.83,0.5,83.7,-164.0385,-9.09,-1.092,279.0,-88.9627
130,training,3606,177761.0,5596,10891,122.3883,4.84,0.48,83.7,-146.2835,-8.62,-1.0482,279.0,-84.36
131,training,3609,166641.0,5565,11079,139.2657,4.85,0.5,83.7,-127.1579,-8.56,-1.083,279.0,-86.6333
132,training,3604,166208.0,5526,11080,137.3739,4.88,0.5,84.0,-134.1024,-7.33,-1.0764,280.0,-84.1173
133,training,3605,156475.0,5512,11168,151.1008,4.85,0.5,83.4,-117.9552,-8.51,-1.074,278.0,-82.76
134,training,3608,167523.0,5471,11069,139.0583,4.83,0.51,83.4,-125.7033,-9.11,-1.1124,278.0,-86.416
135,training,3612,157377.0,5709,10978,127.4355,4.86,0.46,83.7,-140.4994,-9.02,-0.9864,279.0,-84.7587
136,training,3612,165119.0,5547,11189,122.8917,4.86,0.49,83.7,-144.9949,-8.21,-1.062,279.0,-85.5413
137,training,3606,148406.0,5620,10945,145.5716,4.85,0.49,83.7,-125.9823,-8.47,-1.0614,279.0,-81.6147
138,training,3609,149017.0,5444,11157,151.1694,4.84,0.48,83.7,-115.704,-8.51,-1.05,279.0,-86.2667
139,training,3609,188366.0,5306,11201,103.2875,4.83,0.52,83.7,-159.8429,-8.37,-1.1316,279.0,-90.068
140,training,3605,171125.0,5540,11087,126.7187,4.82,0.51,83.4,-139.3439,-9.4,-1.104,278.0,-84.8333
141,training,3605,155638.0,5493,11065,136.8275,4.84,0.49,83.4,-130.9744,-8.48,-1.0674,278.0,-84.0507
142,training,3602,154034.0,5588,10994,137.0779,4.84,0.49,83.4,-129.731,-7.96,-1.0578,278.0,-85.5733
143,training,3606,145278.0,5430,11177,152.117,4.86,0.49,83.7,-119.7874,-8.62,-1.053,279.0,-81.1227
144,training,3609,170737.0,5513,11140,141.2153,4.83,0.52,83.7,-126.1701,-8.56,-1.1346,279.0,-85.62
145,training,3605,149610.0,5450,11082,136.8844,4.81,0.49,83.4,-131.1232,-8.46,-1.0524,278.0,-83.88
146,training,3609,174127.0,5496,11158,134.5705,4.85,0.51,83.7,-134.0268,-8.05,-1.1034,279.0,-84.9493
147,training,3603,174268.0,5560,11104,121.5119,4.86,0.51,83.7,-145.3063,-8.17,-1.1064,279.0,-86.6053
148,training,3600,139601.0,5486,11082,158.5735,4.84,0.51,83.7,-111.5491,-8.38,-1.0974,279.0,-83.1
149,training,3605,138697.0,5451,11152,164.2651,4.82,0.53,83.4,-102.06,-8.19,-1.1436,278.0,-85.7413
150,training,3600,148555.0,5585,11017,142.3509,4.85,0.47,83.7,-130.0063,-7.18,-1.0188,279.0,-82.144
151,training,3611,147893.0,5634,11001,156.0097,4.87,0.49,84.3,-116.5965,-6.94,-1.0644,281.0,-84.6893
152,training,3609,186240.0,5613,11037,136.6698,4.83,0.52,83.7,-127.8859,-7.88,-1.1256,279.0,-89.1387
153,training,3606,175863.0,5569,11059,126.8005,4.83,0.54,83.7,-138.4381,-7.79,-1.1754,279.0,-88.496
154,training,3604,190930.0,5576,11014,99.1943,4.86,0.52,84.0,-168.5335,-7.69,-1.1328,280.0,-87.4493
155,training,3606,166692.0,5633,11074,130.8584,4.85,0.49,83.7,-137.1951,-7.68,-1.0638,279.0,-85.9027
156,training,3612,143509.0,5637,10979,143.6189,4.86,0.48,83.7,-127.1656,-8.33,-1.0308,279.0,-82.5547
157,training,3601,186125.0,5559,11155,92.4973,4.88,0.51,84.0,-172.5937,-6.78,-1.101,280.0,-91.028
158,training,3604,155620.0,5550,11166,137.6195,4.88,0.48,84.0,-133.5175,-6.99,-1.041,280.0,-84.832
159,training,3605,138359.0,5551,11186,159.7124,4.9,0.46,84.3,-114.7827,-6.86,-0.9876,281.0,-82.9573
160,training,3601,180245.0,5485,11126,129.8779,4.87,0.5,84.0,-140.5956,-6.88,-1.0758,280.0,-85.5707
161,training,3607,178824.0,5573,11090,110.2075,4.87,0.51,84.0,-157.5895,-7.09,-1.101,280.0,-88.012
162,training,3610,168585.0,5417,11310,130.3833,4.87,0.5,84.0,-138.7442,-6.98,-1.0938,280.0,-86.7987
163,training,3608,162340.0,5520,11224,135.0863,4.9,0.49,84.3,-139.6794,-6.49,-1.059,281.0,-82.9853
164,training,3603,165617.0,5500,11332,145.2665,4.89,0.51,84.6,-127.7685,-6.41,-1.107,282.0,-86.048
165,training,3611,160256.0,5590,11080,143.7,4.87,0.49,84.3,-129.351,-6.61,-1.071,281.0,-84.568
166,training,3608,184347.0,5477,11102,101.599,4.89,0.49,84.3,-162.825,-6.19,-1.0674,281.0,-93.6187
167,training,3606,176651.0,5495,11139,128.3406,4.89,0.51,84.6,-143.6164,-6.23,-1.113,282.0,-87.3
168,training,3607,180946.0,5473,11267,106.5349,4.92,0.5,84.9,-162.0734,-5.99,-1.083,283.0,-92.2187
169,training,3601,154187.0,5567,11120,139.2676,4.89,0.49,84.0,-132.5426,-6.57,-1.0692,280.0,-84.5507
170,training,3604,154478.0,5563,11114,139.9159,4.89,0.49,84.0,-129.4014,-6.75,-1.062,280.0,-86.8707
171,training,3609,152480.0,5569,11178,129.6925,4.92,0.47,84.6,-140.7246,-6.6,-1.0122,282.0,-88.5707
172,training,3607,160502.0,5604,11085,133.535,4.88,0.48,84.0,-136.6088,-7.01,-1.0422,280.0,-85.804
173,training,3611,181627.0,5559,11191,102.5767,4.87,0.54,84.3,-159.753,-6.94,-1.1796,281.0,-94.8507
174,training,3607,167380.0,5617,10976,125.9565,4.85,0.49,84.0,-144.0805,-6.86,-1.0536,280.0,-86.0493
175,training,3601,152967.0,5572,11155,141.785,4.89,0.52,84.0,-126.6494,-6.71,-1.1196,280.0,-87.736
176,training,3600,146828.0,5562,11044,148.1206,4.87,0.48,83.7,-122.3677,-6.92,-1.0464,279.0,-84.2453
177,training,3606,175836.0,5612,11141,108.6448,4.92,0.5,84.6,-160.4374,-6.71,-1.0824,282.0,-89.7253
