episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
140,training,3612,186880.0,5613,12751,158.3995,5.55,0.58,96.3,-151.1081,-7.35,-1.2624,321.0,-99.18
141,training,3608,168691.0,5567,12734,179.7631,5.56,0.57,96.0,-133.3385,-7.36,-1.2384,320.0,-94.3
142,training,3608,190834.0,5452,12668,151.4156,5.49,0.6,95.1,-151.8803,-7.91,-1.3074,317.0,-99.5867
143,training,3610,166649.0,5473,12817,175.237,5.61,0.57,96.6,-135.2414,-7.63,-1.245,322.0,-99.2467
144,training,3610,187663.0,5654,12782,158.5865,5.64,0.58,97.5,-151.5761,-6.84,-1.2654,325.0,-104.232
145,training,3606,167873.0,5564,12998,190.7109,5.7,0.58,98.1,-127.3536,-6.27,-1.2588,327.0,-99.5067
146,training,3609,218471.0,5416,13252,143.4389,5.73,0.61,99.0,-175.0176,-5.95,-1.3308,330.0,-103.2627
147,training,3609,174428.0,5543,12989,169.8624,5.67,0.57,98.1,-147.4261,-5.96,-1.2408,327.0,-100.6107
148,training,3601,187274.0,5290,13306,169.6812,5.68,0.59,98.4,-151.4343,-5.93,-1.2678,328.0,-98.0867
149,training,3606,208196.0,5505,13190,144.1334,5.79,0.61,99.9,-175.2328,-5.05,-1.3158,333.0,-107.168
150,training,3611,190683.0,5617,13061,162.7572,5.77,0.58,99.6,-161.8989,-5.45,-1.2552,332.0,-100.2387
151,training,3602,206871.0,5490,13182,152.1856,5.74,0.65,99.6,-165.6667,-5.0,-1.4064,332.0,-107.3413
152,training,3607,178466.0,5515,13017,156.745,5.7,0.57,98.4,-159.7194,-5.88,-1.2396,328.0,-102.816
153,training,3608,219297.0,5502,13231,128.4308,5.8,0.62,100.5,-192.6775,-5.06,-1.3344,335.0,-107.9973
154,training,3602,194966.0,5564,13232,163.6474,5.76,0.59,99.6,-157.2309,-5.63,-1.281,332.0,-103.8107
155,training,3610,201442.0,5429,13473,185.25,5.77,0.65,100.2,-138.7583,-4.83,-1.4004,334.0,-103.9613
156,training,3606,189241.0,5512,13508,182.3199,5.91,0.61,101.7,-150.7555,-4.26,-1.3206,339.0,-102.044
157,training,3608,181396.0,5411,13298,163.2158,5.75,0.57,99.6,-160.3944,-5.51,-1.2318,332.0,-101.248
158,training,3606,204923.0,5106,13471,143.5853,5.9,0.6,101.7,-184.176,-4.03,-1.302,339.0,-107.6067
159,training,3609,190385.0,5487,13354,154.6058,5.82,0.61,100.8,-170.0704,-4.31,-1.3164,336.0,-106.4973
160,training,3605,179813.0,5588,13669,189.5823,6.02,0.61,104.1,-151.0025,-2.73,-1.3212,347.0,-106.464
161,training,3604,198092.0,5441,13660,186.8782,5.91,0.65,102.0,-146.6261,-3.8,-1.401,340.0,-103.2947
162,training,3604,169704.0,5495,13548,188.384,5.93,0.53,102.0,-148.5206,-3.59,-1.152,340.0,-100.3533
163,training,3608,195804.0,5645,13684,188.1491,6.0,0.63,104.1,-149.5306,-2.43,-1.3596,347.0,-109.6307
164,training,3607,184814.0,5572,13846,211.6975,6.0,0.63,103.8,-131.3673,-2.79,-1.3572,346.0,-102.588
165,training,3606,203183.0,5529,13969,177.107,6.02,0.66,104.4,-162.6311,-2.29,-1.4346,348.0,-108.9373
166,training,3607,180107.0,5427,13827,212.3534,5.99,0.63,103.8,-130.2089,-2.95,-1.3584,346.0,-102.9293
167,training,3601,185799.0,5582,13570,182.8121,5.99,0.6,102.9,-155.6602,-3.18,-1.2984,343.0,-102.9493
168,training,3600,172747.0,5516,13846,199.0667,6.07,0.6,104.4,-144.1488,-2.36,-1.3032,348.0,-105.5213
169,training,3605,204028.0,5458,13782,161.1575,5.99,0.62,103.2,-173.7563,-3.39,-1.3416,344.0,-107.5547
170,training,3609,187531.0,5584,13906,190.5347,6.02,0.61,104.4,-151.7553,-2.36,-1.3194,348.0,-106.4307
171,training,3605,192238.0,5588,13958,183.5393,6.07,0.63,105.0,-160.5178,-1.83,-1.3542,350.0,-107.7587
172,training,3607,204437.0,5534,13970,175.3939,6.04,0.67,104.7,-165.1048,-2.05,-1.4406,349.0,-109.7107
173,training,3601,209849.0,5373,13895,179.0791,6.07,0.65,104.7,-165.2988,-2.08,-1.4088,349.0,-105.8333
174,training,3604,226272.0,5533,13791,161.9106,6.05,0.67,104.7,-177.6652,-1.89,-1.4448,349.0,-110.7893
175,training,3606,240553.0,5536,13759,135.4256,6.05,0.67,104.4,-201.2532,-2.36,-1.4532,348.0,-111.908
176,training,3606,230510.0,5494,13892,177.4638,6.02,0.63,104.4,-166.2395,-2.37,-1.3614,348.0,-104.9653
177,training,3608,201519.0,5535,13837,189.9623,6.04,0.61,104.1,-155.5789,-2.17,-1.3248,347.0,-102.064
178,training,3606,205518.0,5476,13984,179.1379,6.11,0.62,105.3,-168.0544,-1.79,-1.347,351.0,-105.9707
179,training,3605,189562.0,5682,13824,198.2409,6.11,0.64,105.0,-150.1047,-2.15,-1.3764,350.0,-103.128
180,training,3611,200533.0,5574,13874,179.3003,6.08,0.64,105.0,-163.3953,-2.18,-1.395,350.0,-108.7293
181,training,3604,200449.0,5431,13816,161.8936,5.99,0.64,103.8,-171.9068,-2.74,-1.3836,346.0,-111.876
182,training,3603,233634.0,5548,14144,140.7536,6.14,0.67,106.2,-199.2743,-1.27,-1.4448,354.0,-117.4573
183,training,3601,233985.0,5358,14300,172.6175,6.18,0.7,106.5,-173.7764,-1.01,-1.5108,355.0,-112.5853
184,training,3603,203576.0,5447,14063,171.1331,6.1,0.65,105.3,-169.3282,-1.69,-1.4034,351.0,-112.7453
185,training,3604,209855.0,5508,14066,173.7527,6.1,0.65,105.6,-169.7587,-1.51,-1.4106,352.0,-111.168
186,training,3602,210191.0,5489,14021,166.6717,6.11,0.65,105.9,-176.4898,-1.39,-1.3992,353.0,-112.9493
187,training,3601,198502.0,5591,13684,173.2758,6.04,0.64,103.8,-166.5789,-2.65,-1.374,346.0,-105.9213
188,training,3605,221965.0,5561,13911,151.9901,6.03,0.64,104.1,-184.9001,-2.4,-1.3818,347.0,-110.428
189,training,3605,237153.0,5471,14064,170.4718,6.09,0.63,105.0,-179.1699,-1.93,-1.3536,350.0,-102.0747
190,training,3604,211862.0,5416,14018,176.9569,6.05,0.69,104.7,-162.3696,-1.84,-1.4922,349.0,-111.0413
191,training,3602,230515.0,5450,13954,154.7817,6.11,0.65,105.0,-188.4522,-1.73,-1.4094,350.0,-108.6267
192,training,3611,187877.0,5434,14051,205.1338,6.15,0.66,106.8,-143.159,-0.95,-1.4292,356.0,-112.128
193,training,3603,175632.0,5503,13961,205.6333,6.1,0.62,105.3,-142.7149,-1.97,-1.3338,351.0,-104.648
194,training,3604,217209.0,5426,14010,159.691,6.05,0.65,104.7,-179.9149,-1.8,-1.3968,349.0,-110.8973
195,training,3605,250767.0,5433,14106,127.7127,6.11,0.67,105.9,-214.9422,-1.36,-1.4424,353.0,-113.4427
196,training,3603,254638.0,5450,14052,122.3143,6.1,0.68,105.3,-213.6331,-1.73,-1.4652,351.0,-117.1573
197,training,3609,186022.0,5509,13925,200.1452,6.05,0.64,105.3,-146.6366,-1.89,-1.3842,351.0,-106.244
198,training,3608,191158.0,5629,13704,175.006,6.02,0.61,104.1,-164.5903,-2.66,-1.317,347.0,-107.5267
199,training,3606,197596.0,5612,13934,186.6966,6.08,0.65,105.3,-160.2618,-1.69,-1.3956,351.0,-106.256
200,training,3602,190505.0,5595,13874,187.9605,6.09,0.65,105.0,-153.8213,-1.8,-1.4076,350.0,-110.0107
201,training,3601,215123.0,5490,14032,161.906,6.12,0.64,105.6,-182.5385,-1.45,-1.3908,352.0,-110.3147
202,training,3604,176622.0,5454,13942,202.9205,6.05,0.61,104.7,-142.3485,-2.07,-1.329,349.0,-105.032
203,training,3603,227129.0,5465,14007,146.8556,6.11,0.66,105.3,-194.6405,-1.69,-1.4286,351.0,-111.6853
204,training,3602,191359.0,5319,13885,195.7178,5.96,0.63,103.2,-143.0427,-2.81,-1.3668,344.0,-104.2627
205,training,3606,207880.0,5518,13852,155.6219,6.05,0.63,104.4,-179.8764,-2.15,-1.353,348.0,-113.3987
206,training,3607,196188.0,5357,13950,174.6604,6.01,0.63,103.8,-165.6014,-2.91,-1.3602,346.0,-105.268
207,training,3600,204327.0,5504,14026,185.6824,6.09,0.63,105.3,-160.3248,-1.45,-1.3548,351.0,-107.488
208,training,3609,221416.0,5559,14004,167.7272,6.14,0.65,106.2,-178.5515,-1.31,-1.4046,354.0,-111.2067
209,training,3600,224210.0,5391,13906,150.2225,6.09,0.65,104.4,-190.1319,-1.96,-1.395,348.0,-108.6907
210,training,3611,215194.0,5527,14094,186.1586,6.14,0.67,105.9,-157.8927,-1.47,-1.4574,353.0,-111.9213
211,training,3600,200873.0,5487,14002,172.8483,6.11,0.64,105.3,-167.7535,-1.76,-1.3848,351.0,-112.5533
212,training,3603,207264.0,5516,13947,181.7198,6.08,0.68,105.3,-157.5924,-1.59,-1.4712,351.0,-113.9267
213,training,3607,235260.0,5469,13882,156.5685,6.07,0.64,104.7,-188.9633,-2.04,-1.3788,349.0,-104.7493
214,training,3601,226057.0,5602,14080,155.6706,6.09,0.67,105.6,-186.291,-1.51,-1.443,352.0,-112.6853
215,training,3606,268129.0,5352,14092,112.2516,6.14,0.66,105.3,-225.2642,-1.91,-1.4382,351.0,-115.436
216,training,3606,199641.0,5435,14001,179.7035,6.07,0.61,104.4,-164.13,-2.26,-1.3092,348.0,-104.9973
217,training,3604,208403.0,5483,13740,143.7568,6.05,0.62,103.8,-192.9078,-2.48,-1.3314,346.0,-109.324
218,training,3602,188004.0,5483,13986,191.1295,6.13,0.63,105.9,-158.5854,-1.43,-1.3698,353.0,-106.3853
219,training,3606,263874.0,5500,13875,132.8735,6.01,0.67,104.4,-201.5285,-2.33,-1.452,348.0,-114.216
220,training,3600,204749.0,5521,14006,167.0335,6.1,0.63,105.3,-176.9263,-1.55,-1.3542,351.0,-109.436
221,training,3609,219209.0,5533,13969,169.9813,6.1,0.67,105.3,-171.6896,-1.81,-1.4418,351.0,-111.3773
