episode,phase,steps,total_waiting_time,vehicle_count,episode_throughput,episode_reward,avg_speed_kmh,avg_queue_length,reward_avg_speed,reward_emergency_penalty,reward_phase_switch,reward_queue_length,reward_throughput,reward_waiting_time
103,training,3601,197943.0,5461,11088,96.8914,4.81,0.47,83.1,-160.5769,-15.08,-1.017,277.0,-86.5347
104,training,3601,130726.0,5270,11189,179.301,4.82,0.5,83.1,-87.7222,-14.93,-1.0788,277.0,-77.068
105,training,3601,154847.0,5617,10824,128.1685,4.84,0.47,83.1,-134.5194,-15.06,-1.0068,277.0,-81.3453
106,training,3601,142117.0,5634,10944,153.4714,4.84,0.47,83.1,-113.7699,-14.82,-1.02,277.0,-77.0187
107,training,3601,184034.0,5277,11169,105.7762,4.83,0.49,83.1,-152.4942,-15.18,-1.0536,277.0,-85.596
108,training,3601,183194.0,5414,11049,96.2954,4.82,0.52,83.1,-158.1968,-15.08,-1.1238,277.0,-89.404
109,training,3601,161080.0,5623,10927,123.7711,4.83,0.48,83.1,-137.1335,-15.49,-1.032,277.0,-82.6733
110,training,3601,191483.0,5499,10991,94.3145,4.82,0.52,83.1,-160.973,-15.19,-1.1238,277.0,-88.4987
111,training,3601,154674.0,5383,11162,136.8157,4.81,0.5,83.1,-123.5176,-15.07,-1.086,277.0,-83.6107
112,training,3601,194685.0,5525,11037,112.1128,4.82,0.49,83.1,-148.275,-15.14,-1.0602,277.0,-83.512
113,training,3601,164409.0,5495,11015,124.3176,4.81,0.51,83.1,-131.904,-15.29,-1.0938,277.0,-87.4947
114,training,3601,151937.0,5408,11013,136.0962,4.82,0.49,83.1,-124.883,-15.25,-1.0548,277.0,-82.816
115,training,3611,165138.0,5555,10986,139.0192,4.82,0.51,83.4,-125.0969,-15.01,-1.0992,278.0,-81.1747
116,training,3601,192149.0,5490,11020,107.465,4.81,0.53,83.1,-150.9969,-15.34,-1.1514,277.0,-85.1467
117,training,3601,169032.0,5459,11015,105.0016,4.82,0.48,83.1,-151.6434,-15.48,-1.0284,277.0,-86.9467
118,training,3601,130416.0,5495,11062,158.1489,4.82,0.47,83.1,-103.3894,-15.58,-1.0164,277.0,-81.9653
119,training,3601,147072.0,5545,10917,131.4969,4.82,0.46,83.1,-128.2434,-15.4,-0.9864,277.0,-83.9733
120,training,3601,156268.0,5440,11079,132.7338,4.82,0.5,83.1,-127.6548,-15.33,-1.0854,277.0,-83.296
121,training,3601,149656.0,5429,10998,139.9237,4.81,0.5,83.1,-117.8481,-14.8,-1.0842,277.0,-86.444
122,training,3601,180047.0,5556,10971,94.4084,4.83,0.5,83.1,-162.91,-15.06,-1.0776,277.0,-86.644
123,training,3601,185175.0,5527,11019,116.4751,4.81,0.54,83.1,-140.1794,-15.26,-1.1628,277.0,-87.0227
124,training,3601,198504.0,5435,11027,111.6457,4.82,0.52,83.1,-144.6409,-15.61,-1.1154,277.0,-87.088
125,training,3601,156258.0,5439,11033,142.6575,4.8,0.52,83.1,-120.4122,-15.11,-1.1136,277.0,-80.8067
126,training,3601,144790.0,5588,11048,134.6041,4.84,0.46,83.1,-125.3139,-15.35,-0.996,277.0,-83.836
127,training,3601,155530.0,5626,11007,116.1383,4.85,0.46,83.1,-142.2901,-15.37,-0.9936,277.0,-85.308
128,training,3601,139743.0,5556,10989,160.4468,4.82,0.48,83.1,-105.1395,-15.31,-1.041,277.0,-78.1627
129,training,3601,167728.0,5424,11068,124.5172,4.82,0.52,83.1,-137.5718,-14.64,-1.119,277.0,-82.252
130,training,3601,172498.0,5568,10931,112.1688,4.82,0.49,83.1,-147.3487,-15.01,-1.0632,277.0,-84.5093
131,training,3601,189514.0,5526,11036,85.5595,4.82,0.49,83.1,-168.6196,-15.02,-1.0662,277.0,-89.8347
132,training,3601,162105.0,5527,11081,116.8852,4.83,0.5,83.1,-141.2552,-15.52,-1.0836,277.0,-85.356
133,training,3601,151698.0,5497,11046,129.9236,4.84,0.46,83.1,-135.2703,-15.16,-0.9954,277.0,-78.7507
134,training,3601,184526.0,5452,11071,92.1231,4.82,0.51,83.1,-161.5131,-15.13,-1.1004,277.0,-90.2333
135,training,3601,153652.0,5566,11027,146.275,4.84,0.49,83.1,-116.6848,-15.06,-1.0602,277.0,-81.02
136,training,3601,147329.0,5414,10984,134.7104,4.84,0.46,83.1,-125.3142,-15.53,-0.9894,277.0,-83.556
137,training,3601,155698.0,5530,11041,129.6292,4.84,0.51,83.1,-129.5959,-15.03,-1.0956,277.0,-84.7493
138,training,3601,155812.0,5570,10973,130.1724,4.83,0.47,83.1,-129.4551,-15.19,-1.0092,277.0,-84.2733
139,training,3601,148678.0,5434,11115,143.2505,4.8,0.49,83.1,-119.0719,-15.4,-1.0536,277.0,-81.324
140,training,3601,152592.0,5589,10931,138.6896,4.82,0.5,83.1,-120.8736,-15.48,-1.0848,277.0,-83.972
